id;id_local;zona;secao;local;PL;PT;brancos;nulos;abstencoes;total
722;90;270;518;2232;172;85;4;12;43;316
723;90;270;519;2232;181;64;1;12;57;315
724;90;270;520;2232;169;86;7;4;54;320
725;90;270;521;2232;185;65;3;6;52;311
726;105;270;522;2240;216;91;5;10;71;393
727;105;270;523;2240;210;103;7;11;69;400
728;105;270;524;2240;237;88;5;13;55;398
729;105;270;525;2240;215;98;1;11;70;395
730;105;270;526;2240;212;96;9;10;69;396
731;105;270;527;2240;209;98;5;12;73;397
732;105;270;528;2240;189;117;6;15;69;396
733;105;270;529;2240;218;103;6;8;58;393
734;89;270;530;2259;122;82;8;9;52;273
735;89;270;531;2259;105;98;6;10;58;277
736;89;270;532;2259;111;87;2;12;55;267
737;89;270;533;2259;111;82;3;7;74;277
738;60;270;534;2267;170;90;6;10;101;377
739;60;270;535;2267;165;84;9;11;113;382
740;60;270;536;2267;181;85;5;17;88;376
741;60;270;537;2267;183;99;4;7;97;390
742;60;270;538;2267;167;76;8;5;117;373
743;60;270;539;2267;176;67;5;3;119;370
744;60;270;540;2267;178;91;4;9;94;376
745;60;270;541;2267;181;75;5;5;108;374
746;60;270;542;2267;168;115;7;9;80;379
747;65;270;543;2275;159;107;8;6;108;388
748;65;270;544;2275;172;102;6;16;94;390
749;65;270;545;2275;166;100;11;16;92;385
750;65;270;546;2275;152;124;9;10;92;387
751;65;270;547;2275;164;119;7;8;86;384
752;65;270;548;2275;151;117;4;10;113;395
753;65;270;549;2275;169;108;8;17;86;388
754;65;270;550;2275;157;108;12;11;92;380
755;93;270;551;2283;177;50;7;11;50;295
756;93;270;552;2283;164;64;7;1;56;292
757;93;270;553;2283;111;62;4;6;35;218
758;93;270;554;2283;168;66;3;6;48;291
759;93;270;555;2283;173;45;3;8;57;286
760;93;270;556;2283;161;78;3;9;33;284
761;93;270;557;2283;144;89;6;3;49;291
762;93;270;558;2283;147;57;5;12;70;291
763;86;270;559;2291;153;148;8;13;69;391
764;86;270;560;2291;157;125;8;10;88;388
765;86;270;561;2291;142;142;5;10;94;393
766;62;270;562;2305;148;88;8;12;121;377
767;62;270;563;2305;176;95;4;7;91;373
768;62;270;564;2305;173;99;4;7;92;375
769;62;270;565;2305;154;112;3;8;106;383
770;62;270;566;2305;195;88;6;14;80;383
771;62;270;567;2305;184;88;6;13;87;378
772;62;270;568;2305;183;92;4;15;79;373
773;62;270;569;2305;185;98;7;12;75;377
774;62;270;570;2305;183;95;7;10;87;382
775;62;270;571;2305;173;117;4;7;78;379
776;62;270;572;2305;174;96;3;12;93;378
777;62;270;573;2305;186;103;8;9;74;380
778;62;270;574;2305;197;85;5;7;85;379
779;62;270;575;2305;161;110;5;8;92;376
780;85;270;576;2313;144;111;8;10;63;336
781;85;270;578;2313;98;81;5;5;65;254
782;92;270;579;2321;168;86;5;10;58;327
783;92;270;580;2321;164;79;7;5;72;327
784;92;270;581;2321;200;64;4;9;51;328
785;92;270;582;2321;182;62;5;11;65;325
786;92;270;583;2321;170;68;3;14;72;327
787;95;270;584;2330;158;88;8;22;77;353
788;95;270;585;2330;177;102;9;7;60;355
789;95;270;586;2330;149;110;10;7;77;353
790;95;270;587;2330;167;102;8;9;64;350
791;95;270;588;2330;166;91;8;13;70;348
792;95;270;589;2330;139;107;7;12;86;351
793;71;270;590;2348;120;84;7;8;55;274
794;71;270;591;2348;188;81;6;16;86;377
